,Dataset,N,K,Rep,Model,maxgenomelen,maxcohortlen,X_bounds,valsize,mutprob,init_prop,gramfile,n_num_optimisations,prop_consts,Time,Rsq_train,Rsq_test,Size,N_vars_used,N_consts_used,Equation
42,659_sleuth_ex1714,47,7,1,Magpie,50,15,none,0.0,0.6,0.12,base_placeholders.bnf,3,0.75,123.27142310142516,0.8866591799335858,0.8005684356289198,42,3,5,(((X[1] - X[0]) + -336.4301) * ((((-34.0472 + (X[5] * X[5])) * (2.2204 + X[1])) + (1662.5602 + 1662.5602)) * -0.0088))
43,659_sleuth_ex1714,47,7,1,Magpie,30,8,none,0.25,1.0,0.12,extended_placeholders.bnf,3,0.75,47.55818939208984,0.6976476632020515,0.8715630097335961,10,1,2,((-17.6416 - X[5]) * -431.5961)
44,659_sleuth_ex1714,47,7,1,Magpie,30,8,none,0.25,0.6,0.12,extended_placeholders.bnf,3,0.75,69.59622836112976,0.6976476625339731,0.8715630086876257,10,1,2,(7614.0473 + (431.5961 * X[5]))
45,659_sleuth_ex1714,47,7,0,Magpie,30,8,none,0.25,1.0,0.12,extended_placeholders.bnf,3,0.75,50.23673057556152,0.8459476982478022,0.8632016002707167,24,2,3,(((108678147.1190 + exp(X[5])) * (0.0000 * X[5])) + (X[0] + 7356.5772))
46,659_sleuth_ex1714,47,7,1,Magpie,30,8,none,0.0,0.6,0.12,extended_placeholders.bnf,3,0.75,79.44491124153137,0.8904128191566951,0.8095558490341407,30,3,4,(((abs(X[0]) - (exp(X[2]) * -0.0000)) - (-9.6278 * (15.1604 + X[5]))) / 0.0228)
47,659_sleuth_ex1714,47,7,2,Magpie,30,8,none,0.0,1.0,0.12,extended_placeholders.bnf,3,0.75,56.30789971351624,0.8639466214707366,0.7513842563338544,28,4,3,((-241595.0039 / ((X[5] - (X[4] / abs(X[0]))) + -30.3268)) - (X[2] * -24.7415))
48,659_sleuth_ex1714,47,7,1,Magpie,50,15,none,0.25,0.6,0.12,base_placeholders.bnf,3,0.75,140.44628286361694,0.5401546747284889,0.4032478265545278,7,1,1,(sqrt(X[5]) * 4083.0326)
49,659_sleuth_ex1714,47,7,0,Magpie,50,15,none,0.25,1.0,0.12,base_placeholders.bnf,3,0.75,120.92660403251648,0.8520329321957913,0.78739259573821,26,3,3,(((sqrt(X[2]) * (-268.2861 - (-72.1817 * X[5]))) - -6131.3375) * sqrt(sqrt(sqrt(X[0]))))
50,659_sleuth_ex1714,47,7,0,Magpie,50,15,none,0.25,0.6,0.12,base_placeholders.bnf,3,0.75,144.8653838634491,0.2709942961865691,0.3931535457477054,9,1,1,sqrt(sqrt(sqrt((1981679576289106153376741836455936.0000 / X[1]))))
51,659_sleuth_ex1714,47,7,1,Magpie,50,15,none,0.25,1.0,0.12,base_placeholders.bnf,3,0.75,124.0962405204773,0.5401546745150259,0.4032478265152067,7,1,1,(sqrt(X[5]) * 4083.0325)
52,659_sleuth_ex1714,47,7,0,Magpie,50,15,none,0.0,1.0,0.12,base_placeholders.bnf,3,0.75,136.41928243637085,0.895791091157976,0.8677414983042431,45,3,5,((150.7410 + (7.3707 * (((X[5] + -12.5124) * X[5]) / X[0]))) * ((11.7288 * (sqrt(X[5]) + 4.3353)) - sqrt(sqrt((X[4] * X[4])))))
53,659_sleuth_ex1714,47,7,0,Magpie,30,8,none,0.0,1.0,0.12,extended_placeholders.bnf,3,0.75,83.22178196907043,0.86402789810719,-0.1818649983780591,28,2,4,(exp(3.6559) * ((177.1804 + X[0]) - (29.3782 / (log(log(X[5])) + -1.1419))))
